[I 2025-03-17 09:47:37,789] Trial 39 finished with value: 496.0413637852762 and parameters: {'lr': 0.006460273895393186, 'batch_size': 64, 'exploration_eps_init': 0.8981869456483789, 'exploration_eps_end': 0.061100922763324815, 'softupdate_eps': 0.9546613215099795, 'gamma': 0.9601991129745773, 'weight_decay': 2.5322833083823483e-05}. Best is trial 32 with value: 808.4930485711666.
[I 2025-03-17 09:47:53,441] Trial 40 finished with value: 528.360640052706 and parameters: {'lr': 0.001769672081994637, 'batch_size': 128, 'exploration_eps_init': 0.8460831513766213, 'exploration_eps_end': 0.045770029124126164, 'softupdate_eps': 0.9654943515435257, 'gamma': 0.9509651490924071, 'weight_decay': 1.7856469795803777e-05}. Best is trial 32 with value: 808.4930485711666.
[I 2025-03-17 09:48:09,074] Trial 41 finished with value: 567.9412527778986 and parameters: {'lr': 0.0024552939121687076, 'batch_size': 256, 'exploration_eps_init': 0.8721802184272509, 'exploration_eps_end': 0.05278481204974647, 'softupdate_eps': 0.968381936283784, 'gamma': 0.9443609271011895, 'weight_decay': 1.782374523231334e-05}. Best is trial 32 with value: 808.4930485711666.
[I 2025-03-17 09:48:24,754] Trial 42 finished with value: 690.1555211052764 and parameters: {'lr': 0.0033329323060051572, 'batch_size': 256, 'exploration_eps_init': 0.9167173571736499, 'exploration_eps_end': 0.050428278181010595, 'softupdate_eps': 0.9620733179750885, 'gamma': 0.949761040496994, 'weight_decay': 9.767855150453663e-06}. Best is trial 32 with value: 808.4930485711666.
[I 2025-03-17 09:48:40,706] Trial 43 finished with value: 523.6411516633816 and parameters: {'lr': 0.0034492885884225668, 'batch_size': 256, 'exploration_eps_init': 0.9095444310579036, 'exploration_eps_end': 0.04425378403307194, 'softupdate_eps': 0.9631546896854307, 'gamma': 0.9517382387461248, 'weight_decay': 1.3364810547724943e-05}. Best is trial 32 with value: 808.4930485711666.
[I 2025-03-17 09:48:56,448] Trial 44 finished with value: 594.3600534762954 and parameters: {'lr': 0.002838262870695197, 'batch_size': 256, 'exploration_eps_init': 0.9736462208611096, 'exploration_eps_end': 0.03961734092877718, 'softupdate_eps': 0.9586700345123782, 'gamma': 0.9483416195641651, 'weight_decay': 6.301921840877327e-06}. Best is trial 32 with value: 808.4930485711666.
[I 2025-03-17 09:49:12,044] Trial 45 finished with value: 437.52567378169624 and parameters: {'lr': 0.0036831129728586176, 'batch_size': 256, 'exploration_eps_init': 0.9411131057844535, 'exploration_eps_end': 0.05808646412296023, 'softupdate_eps': 0.9611278182906766, 'gamma': 0.9681155141058386, 'weight_decay': 1.1665577116060657e-05}. Best is trial 32 with value: 808.4930485711666.
[I 2025-03-17 09:49:27,052] Trial 46 finished with value: 384.05862435977906 and parameters: {'lr': 0.008258736032639805, 'batch_size': 32, 'exploration_eps_init': 0.9195370784642152, 'exploration_eps_end': 0.05217043855477755, 'softupdate_eps': 0.9472717317209941, 'gamma': 0.9560915239008219, 'weight_decay': 6.033143813271482e-06}. Best is trial 32 with value: 808.4930485711666.
[I 2025-03-17 09:49:42,811] Trial 47 finished with value: 596.9277883375908 and parameters: {'lr': 0.0017087965898530788, 'batch_size': 256, 'exploration_eps_init': 0.9002852660478237, 'exploration_eps_end': 0.0488167854126617, 'softupdate_eps': 0.9554945707206592, 'gamma': 0.9443151876282367, 'weight_decay': 2.2109256689942e-05}. Best is trial 32 with value: 808.4930485711666.
[I 2025-03-17 09:49:59,169] Trial 48 finished with value: 538.6710915345466 and parameters: {'lr': 0.004978961121681828, 'batch_size': 256, 'exploration_eps_init': 0.9529248886524089, 'exploration_eps_end': 0.07126215843763786, 'softupdate_eps': 0.9637164335378128, 'gamma': 0.9491914082114107, 'weight_decay': 2.97400447337115e-05}. Best is trial 32 with value: 808.4930485711666.
[I 2025-03-17 09:50:14,536] Trial 49 finished with value: 585.3356768722879 and parameters: {'lr': 0.00111840817669161, 'batch_size': 256, 'exploration_eps_init': 0.8660584011442679, 'exploration_eps_end': 0.05814255082804508, 'softupdate_eps': 0.9512686385062922, 'gamma': 0.954767916825532, 'weight_decay': 4.720944701652184e-06}. Best is trial 32 with value: 808.4930485711666.
